pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
1,Canada,Canada,2020-03-11,103,0,2.0,103,11023.0,,,293.0,26,33.77,0.27,0.01,0.0,1.94,11023.0,,98.06,101.0,0.27,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-12,46,0,1.0,46,5195.0,,,1024.0,7,17.95,0.91,0.02,0.0,2.17,822.0,,97.83,45.0,0.89,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-12,19,0,0.0,19,4109.0,,,940.0,5,35.71,0.43,0.0,0.0,0.0,2140.0,,100.0,19.0,0.43,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-03-12,0,1,0.0,1,285.0,,,243.0,1,0.0,0.09,0.0,0.0,0.0,81.0,,100.0,1.0,0.09,,,,,,,,,,,,
46,Manitoba,Manitoba,2020-03-12,0,1,0.0,1,352.0,,,257.0,1,0.0,0.07,0.0,0.0,0.0,0.0,,100.0,1.0,0.07,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-12,59,0,1.0,59,4185.0,,,287.0,17,40.48,0.41,0.01,0.0,1.69,791.0,,98.31,58.0,0.4,,,,,,,,,,,,
24,Quebec,Québec,2020-03-12,13,0,0.0,13,740.0,,,87.0,6,85.71,0.15,0.0,0.0,0.0,184.0,,100.0,13.0,0.15,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-12,0,0,0.0,0,52.0,,,100.0,0,0.0,0.0,0.0,0.0,,30.0,,,,0.0,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-03-12,0,1,0.0,1,44.0,,,57.0,1,0.0,0.13,0.0,0.0,0.0,0.0,,100.0,1.0,0.13,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-03-12,0,0,0.0,0,182.0,,,187.0,0,0.0,0.0,0.0,0.0,,79.0,,,,0.0,,,,,,,,,,,,
